game_name,jumlah_pembelian,rata_rating,rata_playtime,skor_populer
Atari Anniversary Edition,231,3.9177489177489178,103.05974025974025,21.32396100000023
Fighting Force 2,196,3.933673469387755,99.53112244897959,20.758872486997998
40 Winks,212,3.839622641509434,104.63962264150943,20.599894733736942
Hoard,207,3.8405797101449277,100.25893719806763,20.513675120861404
Brainpipe,155,4.025806451612903,107.14451612903227,20.2567061066097
Labyrinth,200,3.805,106.96,20.208398127419557
Drums Challenge,157,4.0,101.86433121019108,20.19054292136173
Boom Beats,154,3.987012987012987,105.98311688311688,20.05394062107431
Wizorb,162,3.9012345679012346,103.04814814814814,19.860332619031535
Awesome Summer Minis Bundle,149,3.953020134228188,96.15637583892617,19.76874590783803
Tomb Raider Chronicles,133,4.052631578947368,102.59172932330827,19.75325593108945
Speedball 2 Evolution,159,3.8679245283018866,100.93836477987422,19.6346951460746
Everybody’S Golf 2,133,4.022556390977444,102.5609022556391,19.6223591252347
Constructor,155,3.8645161290322583,109.47032258064517,19.521305584325884
Cérébral Challenge [Psp],126,4.0396825396825395,96.05555555555556,19.476820464989043
Judge Dredd,163,3.803680981595092,104.64171779141104,19.432894089051445
Jet Set Radio,123,4.048780487804878,106.68617886178862,19.41735526211134
Patapon 3 [Psp],144,3.9027777777777777,101.50694444444444,19.40970562028804
Backgammon Blitz,144,3.9027777777777777,99.37916666666666,19.40970562028804
Riff: Everyday Shooter [Psp],131,3.984732824427481,101.67251908396946,19.39720313226808
Doki-Doki Universe,139,3.906474820143885,103.39136690647481,19.28873264988947
Fear Effect,143,3.874125874125874,95.65104895104895,19.255103590943044
Hotel Mogul,119,4.042016806722689,96.61008403361345,19.25397072673186
Solitaire,123,4.008130081300813,106.66829268292683,19.24479592471854
Motor Toon Grand Prix 2,127,3.968503937007874,106.8755905511811,19.20370964648843
Feisty Feet,134,3.91044776119403,99.11567164179104,19.163594688647823
Harvest Moon: Back To Nature,116,4.043103448275862,99.52155172413794,19.154488832241142
Flower,137,3.883211678832117,99.28029197080292,19.130176727383205
Hohokum,133,3.9022556390977443,107.26015037593986,19.098771901815702
Patapon [Psp],112,4.053571428571429,102.04107142857143,19.054576702497357
Velocity,105,4.114285714285714,96.2104761904762,19.035021841465532
Gensan,147,3.795918367346939,102.83673469387755,19.010210093052475
Shakedown: Hawaii,125,3.936,98.8312,19.001952936493062
Cool Boarders 2,121,3.9421487603305785,99.46776859504132,18.900189386088986
Farm Frenzy 3,152,3.7434210526315788,99.32105263157894,18.89739232204797
Wwe All Stars,142,3.795774647887324,96.82816901408451,18.88012102247588
Reel Fishing,137,3.8248175182481754,100.52992700729928,18.873666267766566
The Terminator,118,3.957627118644068,99.96779661016949,18.866210936315216
Gang Wars,119,3.9411764705882355,104.4689075630252,18.830518304990743
Bloons,121,3.925619834710744,96.32148760330578,18.83039913535135
A Space Shooter For 2 Bucks!,119,3.9327731092436973,111.62773109243697,18.795230603178982
Brick Breaker,120,3.9166666666666665,98.515,18.76023051062538
Sid Meier'S Pirates!,157,3.6815286624203822,103.94267515923566,18.73301214411854
Bloons Td,118,3.9152542372881354,108.41525423728814,18.688772969329204
Vibes,129,3.8217054263565893,103.1062015503876,18.63300854988102
Tetraminos,133,3.781954887218045,104.08721804511279,18.57518467839671
Farm Frenzy,138,3.746376811594203,101.1304347826087,18.555796882042394
Metal Gear Solid - Digital Graphic Novel,109,3.9541284403669725,94.56972477064221,18.538127659953563
Elementalmonster Td Portable [Psp],108,3.962962962962963,102.64074074074075,18.537628472733253
Carnivores: Dinosaur Hunter,117,3.8803418803418803,98.37777777777778,18.509818793377782
All-Star Boxing,117,3.8803418803418803,100.31623931623932,18.509818793377782
Quantum Conundrum,109,3.944954128440367,100.36422018348624,18.50072437695863
Final Fantasy Vii,101,4.01980198019802,109.44158415841585,18.49782025266256
Beat Hazard Ultra,110,3.9272727272727272,102.22363636363637,18.464367313793904
Missile Command,102,3.9901960784313726,108.53823529411764,18.41969150710219
Jellycar 2,107,3.9345794392523366,102.27850467289718,18.38579184283135
Flow [Psp],106,3.9339622641509435,111.11226415094339,18.34647482271471
Prehistoric Isle,92,4.076086956521739,106.14891304347827,18.336748534260877
Pandemonium 2,115,3.8521739130434782,100.5,18.326516109406484
Beaterator,126,3.7698412698412698,104.46587301587302,18.322393754946326
Resident Evil 3: Nemesis,117,3.8290598290598292,101.46153846153847,18.295679108429134
Jelly Pops,93,4.053763440860215,114.28387096774193,18.295276885300794
Urbanix,110,3.881818181818182,100.55909090909091,18.27847008208587
Beats [Psp],104,3.9326923076923075,102.36826923076923,18.26670098209462
Le Package Big Head,118,3.8135593220338984,103.50593220338983,18.262921848562772
Final Fantasy Viii,101,3.9603960396039604,111.97029702970298,18.261993150236787
Everybody'S Golf 2 [Psp],84,4.154761904761905,98.79523809523809,18.25371766043928
Heracles Chariot Racing,113,3.849557522123894,105.09115044247787,18.24889540447187
Floating Cloud God Saves The Pilgrims,112,3.857142857142857,98.88214285714285,18.246289452867668
Ozma Wars,97,3.9896907216494846,109.0360824742268,18.21673753637857
A-Men,76,4.2631578947368425,99.2328947368421,18.216479885614717
Kaleidoscope,88,4.090909090909091,102.75681818181819,18.209587420342494
Tales From Space: Mutant Blobs Attack,107,3.878504672897196,109.14485981308411,18.1586330501188
Farm Frenzy 2,133,3.6842105263157894,94.92857142857143,18.149770059368777
Best Of Solitaire,95,3.9894736842105263,98.20631578947369,18.13261876482972
Doodle Pool,86,4.093023255813954,93.2453488372093,18.122326027975863
Numba,126,3.7222222222222223,102.31904761904762,18.118671394350553
Vt Tennis,90,4.033333333333333,100.04222222222221,18.083497711203048
Vib-Ribbon,78,4.1923076923076925,99.77179487179487,18.07536650631314
Dissidia Final Fantasy,106,3.858490566037736,93.6254716981132,18.041734047484464
N20,98,3.9285714285714284,101.35204081632654,18.01771576694609
Zombie Tycoon (Français),106,3.849056603773585,89.54528301886792,18.00364145058068
Vagrant Story,90,4.011111111111111,103.93666666666665,17.998921946021525
Everybody'S Golf [Psp],100,3.9,102.18700000000001,17.983714282776134
Time Soldiers,98,3.9183673469387754,105.88877551020408,17.97764330370767
101-In-1 Megamix [Psp],120,3.716666666666667,96.79416666666665,17.918065056440014
Re-Loaded,109,3.7981651376146788,101.42844036697248,17.90227184903972
Deathspank: Thongs Of Virtue,99,3.888888888888889,94.22020202020201,17.901015073345988
Touchdown Fever,84,4.059523809523809,104.44642857142857,17.90067189081636
Stellar Attack,108,3.8055555555555554,104.90277777777777,17.89791766397601
Monochrome Racing,113,3.7610619469026547,108.14513274336282,17.883646010894555
Alien Zombie Death,91,3.967032967032967,101.61978021978021,17.87495828696836
T.N.K. Iii,96,3.90625,100.940625,17.850075385620514
Arcade Air Hockey & Bowling,81,4.074074074074074,100.43580246913581,17.80497297789822
Tom Clancy'S Rainbow Six,106,3.792452830188679,106.89905660377357,17.775085869157994
Hatsune Miku:Project Diva F 2Nd,84,4.023809523809524,106.87261904761904,17.768279727207762
Hardcore 4X4,79,4.0886075949367084,90.89113924050632,17.754710278612887
Omg-Z!,87,3.9770114942528734,108.6977011494253,17.73431863349364
Zombie Tycoon (Anglais),87,3.9655172413793105,100.73908045977011,17.6911303870558
Victory Road,94,3.882978723404255,103.12127659574467,17.678413430445023
Twisted Metal,105,3.7714285714285714,95.84190476190476,17.655195703856943
Divekick,81,4.012345679012346,106.13703703703705,17.579381320494743
Tokyo Twilight Ghost Hunters: Daybreak Special Gigs,80,4.025,101.6625,17.575401377325356
Movement,86,3.941860465116279,105.64999999999999,17.55685746356285
Journey - Édition Collector,75,4.093333333333334,97.85466666666667,17.556656653009046
Dynogems,91,3.879120879120879,103.310989010989,17.53898521497173
M.O.Z.O.X. Space Salvager,100,3.78,108.875,17.509030800008244
Kurushi Final,98,3.795918367346939,102.08877551020409,17.49677374484664
Caterpillar,82,3.975609756097561,101.28414634146341,17.493867055276038
International Track & Field,80,4.0,110.76875,17.48448512090305
Lemmings,80,4.0,96.775,17.48448512090305
Gold Medalist,78,4.0256410256410255,99.30512820512821,17.475359481849114
Castlestorm,83,3.9518072289156625,104.84939759036145,17.454196309290335
Alpha Mission,88,3.8863636363636362,102.9909090909091,17.437682838533085
Geronimo Stilton 2 Le Jeu Vidéo,78,4.012820512820513,108.6423076923077,17.429205095351882
Ea Sports Fight Night Round 3 [Psp],84,3.9285714285714284,101.93452380952381,17.415233957584842
Bigs 2 [Psp],62,4.290322580645161,117.86129032258064,17.412396909808418
Gta: Liberty City Stories,72,4.097222222222222,107.59444444444445,17.40122160654594
Reef Aquarium,74,4.054054054054054,89.54324324324324,17.36267836689328
Patapon 2 [Psp],110,3.6545454545454548,91.11818181818182,17.348983923545717
Alien Havoc,107,3.6728971962616823,91.82429906542056,17.32571747683947
Trailblazer,101,3.722772277227723,97.38217821782179,17.31868474053369
Metal Gear Solid,77,3.987012987012987,97.31168831168831,17.284851220730737
F1 2011,76,4.0,94.00657894736842,17.27900429464687
Bermuda Triangle,80,3.9375,102.46,17.257194479847282
Space Invaders Extreme,82,3.902439024390244,100.26585365853657,17.225163565838585
Bubble Trubble,81,3.9135802469135803,94.30617283950617,17.218434668649184
Fifty Words By Powgi,71,4.056338028169014,101.58309859154929,17.201656661357397
Choplifter Hd,68,4.102941176470588,105.23970588235295,17.183826133967134
Breakquest: Extra Evolution,88,3.8181818181818183,106.1465909090909,17.180381311263282
Sasuke Vs Commander,89,3.797752808988764,90.32921348314606,17.145324892758524
Fieldrunners,69,4.072463768115942,96.88985507246376,17.14014169346223
Tom Clancy'S Endwar,91,3.769230769230769,115.36043956043956,17.119018874975946
Lord Of Arcana,65,4.138461538461539,93.47076923076924,17.11501338635392
Syndicate Wars,84,3.8452380952380953,113.10595238095237,17.10631890916479
Fear Effect 2: Retro Helix,94,3.734042553191489,107.17446808510638,17.102339285042085
Sound Shapes,95,3.7157894736842105,105.58,17.069909220896367
Exit 2,72,4.0,111.3763888888889,17.062514857725894
James Pond 2 : Codename Robocod,70,4.0285714285714285,95.59571428571428,17.048128013349967
Tiny Hawk,74,3.9594594594594597,97.22297297297297,17.029356104466952
Warhawk (Ps One),59,4.237288135593221,109.41525423728814,17.023819768155075
Final Fantasy Ix,72,3.986111111111111,91.44861111111112,17.014128179323034
Generation Of Chaos: P.R.,80,3.8625,109.72999999999999,16.984445710580367
Disgaea 4: A Promise Revisited,78,3.8846153846153846,99.51538461538462,16.96766123037955
Vanguard Ii,88,3.7613636363636362,98.89886363636364,16.965963371871776
Let'S Golf!,82,3.8292682926829267,97.4,16.956460076401136
Bowling 3D,69,4.0144927536231885,94.58985507246376,16.94177669943688
Tactics Ogre: Let Us Cling Together,80,3.85,90.47,16.93898758236921
Marvin'S Maze,97,3.649484536082474,99.01134020618557,16.885660045986572
International Athletics,67,4.029850746268656,100.73134328358209,16.875373595333873
Energy Balance,72,3.9444444444444446,101.78888888888889,16.868968144114444
Resident Evil 2,71,3.9577464788732395,100.44788732394366,16.860187818653426
L.A. Gridlock,65,4.061538461538461,102.72307692307692,16.858515203895514
Hal 21,63,4.095238095238095,110.62063492063493,16.841586582585016
Ronnie O'Sullivan'S Snooker,82,3.792682926829268,110.03536585365853,16.822108331682408
Gunship,82,3.792682926829268,113.51951219512196,16.822108331682408
Cool Boarders,68,3.985294117647059,100.19852941176471,16.78377006563182
Bia D-Day + Prince Of Persia Rev.,62,4.096774193548387,97.22741935483872,16.780422189180463
Lemmings [Psp],72,3.9166666666666665,93.70138888888889,16.772194787308717
This Is Football Management,85,3.7411764705882353,112.70470588235294,16.763599827776904
Final Fantasy V,65,4.030769230769231,90.57076923076923,16.755915930912156
Tiny Troopers Joint Ops,79,3.810126582278481,95.15443037974683,16.74703470462875
Hatsune Miku: Project Diva F,82,3.768292682926829,91.88658536585366,16.732540501869927
Everhood: Eternity Edition,55,4.236363636363636,101.85454545454546,16.716261056198253
Legacy Of Kain: Soul Reaver,91,3.659340659340659,93.78131868131868,16.69905253498016
Buzz!: The Ultimate Music Quiz,74,3.864864864864865,96.13783783783784,16.696033842040624
Demon'S Tier+,64,4.03125,96.8796875,16.694822507366524
Extreme Exorcism,69,3.9420289855072466,103.73768115942029,16.69382045690519
